TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,HS_DEPLOYED,PC_DEPLOYED,MAST_RAISED,TEMPERATURE,VOLTAGE,PRESSURE,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,TILT_X,TILT_Y,CMD_ECHO
1071,00:01:03,1,F,LAUNCH_WAIT,-4.31,N,N,N,23.13,101376.75,55.66,,,,,,,0.00,0.00,CXON
1071,00:01:04,2,F,LAUNCH_WAIT,-5.14,N,N,N,23.13,101386.75,55.66,,,,,,,0.00,0.00,CXON
1071,00:01:05,3,F,LAUNCH_WAIT,-4.83,N,N,N,23.13,101383.00,55.66,,,,,,,0.00,0.00,CXON
1071,00:01:06,4,F,LAUNCH_WAIT,-4.64,N,N,N,23.19,101380.75,55.66,,,,,,,0.00,0.00,CXON
1071,00:01:08,5,F,LAUNCH_WAIT,-4.50,N,N,N,23.19,101379.00,55.66,,,,,,,0.00,0.00,CXON
1071,00:01:09,6,F,LAUNCH_WAIT,-4.89,N,N,N,23.19,101383.75,55.66,,,,,,,0.00,0.00,CXON
1071,00:01:10,7,F,LAUNCH_WAIT,-4.70,N,N,N,23.19,101381.50,55.66,,,,,,,0.00,0.00,CXON
1071,00:01:11,8,F,LAUNCH_WAIT,-5.10,N,N,N,23.19,101386.25,55.66,,,,,,,0.00,0.00,CXON
1071,00:01:12,9,F,LAUNCH_WAIT,-4.72,N,N,N,23.19,101381.75,55.66,,,,,,,0.00,0.00,CXON
1071,00:01:14,10,F,LAUNCH_WAIT,-4.62,N,N,N,23.19,101380.50,55.66,,,,,,,0.00,0.00,CXON
1071,00:01:15,11,F,LAUNCH_WAIT,-4.77,N,N,N,23.19,101382.25,55.66,,,,,,,0.00,0.00,CXON
1071,00:01:16,12,F,LAUNCH_WAIT,-4.87,N,N,N,23.19,101383.50,55.72,,,,,,,0.00,0.00,CXON
1071,00:01:17,13,F,LAUNCH_WAIT,-4.75,N,N,N,23.19,101382.00,55.66,,,,,,,0.00,0.00,CXON
1071,00:01:18,14,F,LAUNCH_WAIT,-4.77,N,N,N,23.19,101382.25,55.66,,,,,,,0.00,0.00,CXON
1071,00:01:20,15,F,LAUNCH_WAIT,-4.56,N,N,N,23.19,101379.75,55.66,,,,,,,0.00,0.00,CXON
1071,00:01:21,16,F,LAUNCH_WAIT,-4.39,N,N,N,23.19,101377.75,55.66,,,,,,,0.00,0.00,CXON
1071,00:01:22,17,F,LAUNCH_WAIT,-4.41,N,N,N,23.19,101378.00,55.66,,,,,,,0.00,0.00,CXON
1071,00:01:23,18,F,LAUNCH_WAIT,-4.58,N,N,N,23.19,101380.00,55.66,,,,,,,0.00,0.00,CXON
1071,00:01:24,19,F,LAUNCH_WAIT,-4.33,N,N,N,23.25,101377.00,55.72,,,,,,,0.00,0.00,CXON
1071,00:01:26,20,F,LAUNCH_WAIT,-4.54,N,N,N,23.19,101379.50,55.72,,,,,,,0.00,0.00,CXON
1071,00:01:27,21,F,LAUNCH_WAIT,-4.70,N,N,N,23.25,101381.50,55.66,,,,,,,0.00,0.00,CXON
